,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
41,봇봇봇,02-499-9219,카페/디저트, 아차산로9길 8,월요일 휴무 | 목요일 11:00~21:00 | 수요일 11:00~21:00 | 화요일 11:00~21:00 | 일요일 11:00~21:00 | 토요일 11:00~22:00 | 금요일 11:00~22:00,http://botbotbot.kr,"로맨슈페너 BOT 6,500 | 라임 모히또 BOT 9,000 | 아이스 아메리카노 4,500 | 트리플 치즈 크로와상 10,000",463
42,모리티아,02-460-8733,카페, 아차산로5길 10 1층 모리티아,금요일 08:00~21:00 | 목요일 08:00~21:00 | 수요일 08:00~21:00 | 화요일 08:00~21:00 | 월요일 08:00~21:00 | 공휴일 09:30~19:00 | 토요일 09:30~19:00 | 일요일 휴무,http://instagram.com/mauritia_coffee,"바닐라빈라떼 5,300 | 로얄밀크티 5,000 | 딸기요모리치노 5,800 | 모리쿠키 4,000 | 모리라떼 6,000",462
43,프랑스포차,02-3144-9191,펍, 연무장5가길 20,매일 17:30~02:00 | 일요일 17:30~24:00,https://francepocha.modoo.at,"슈크르트 23,000 | 브이야베스 29,000 | 꼬꼬뱅 27,000 | 도피노아즈 18,000",461
44,송화산시도삭면 2호점,02-468-7826,중식, 아차산로30길 33,매일 12:00~24:00,,"새우아스파라거스 딤섬 9,000 | 삼색딤섬 8,000 | 군만두 딤섬 8,000 | 황금꽃빵 7,000 | 삼선춘권 10,000 | 도삭면 9,000 | 충유면 9,000 | 비빔면 9,000 | 야채볶음면 9,000 | 토마토계란면 9,000",460
45,권식족발 성수본점,02-465-8516,한식, 아차산로7길 4 1층,월요일 12:00~23:00 12시영업시작 | 금요일 12:00~23:00 12시영업시작 | 목요일 12:00~23:00 12시영업시작 | 수요일 12:00~23:00 12시영업시작 | 화요일 12:00~23:00 12시영업시작 | 토요일 13:00~23:00 오후1시영업시작 | 일요일 13:00~23:00 오후1시영업시작,http://blog.naver.com/20002345/,"반반왕족발 중 36,000 | 매운왕족발 중 35,000 | 영양왕족발 중 35,000 | 매운미니족발 26,000 | 영양미니족발 25,000 | 고소 주먹밥 3,000 | 촉촉 계란찜 4,000 | 뜨끈 오뎅탕 9,000 | 구수 누룽지 4,000 | 쫀득순대 6,000 | 매콤무뼈닭발 16,000",457
46,오우드,070-8844-0196,카페/디저트, 연무장길 101-1,매일 11:00~22:00,http://oude.kr,"Cream Chocolate 7,000 | Peanut Cream Latte 7,000 | 커스터드크림 크로넛 5,000 | 아메리카노 4,500 | 카페 라떼 5,000 | 당근 케이크 7,000 | 밀크티 6,000 | 당근케이크(홀케이크15cm) 28,000",443
47,타논55,02-467-1330,아시안식, 연무장5가길 7 현대테라스타워 1층 109호,매일 11:30~22:00 일요일 휴무 | 매일 15:00~17:00 브레이크 타임,,"태국쌀국수 8,000 | 느아뚠 쌀국수 9,500 | 똠양 쌀국수 9,500 | 카오소이 8,500 | 태국 쌀국수 & 카오팟 세트 9,500 | 뿌팟퐁 커리 덮밥 12,000 | 무텃 23,000 | 쁠라텃 13,000 | 스프링롤(6pcs) 6,000 | 팟타이 12,000 | 팟씨유센렉 9,500 | 태국식 돈까스 무텃 커리밥 12,000 | 카오팟 7,500 | 꿍팟퐁 커리 23,000 | 무까타 15,000 | 샤브샤브+삼겹살 15,000 | 샤브샤브+타논와규 20,000 | 샤브샤브+타논로스 20,000 | 샤브샤브+항정살 15,000 | 샤브샤브+소막창 15,000 | 샤브샤브+모듬해물 15,000 | 샤브샤브+타논목살 15,000 | 모듬야채추가 4,000 | 쌀국수면 추가 2,000 | 우동면 추가 2,000 | 카오팟꿍 7,500 | 팟카파오 푸쌉 9,500 | 얌운쎈 13,000 | 똠얌피자 16,000 | 텃판꿍 7,000",438
48,피어커피,02-474-1464,카페, 광나루로4가길 24 1층 피어커피,금요일 10:00~17:00 | 목요일 10:00~17:00 | 수요일 10:00~17:00 | 화요일 10:00~17:00 | 월요일 10:00~17:00 | 일요일 12:00~20:00 공휴일 12:00 ~ 20:00 | 토요일 12:00~20:00 공휴일 12:00 ~ 20:00,http://peercoffee.co.kr/,"에스프레소 5,000 | 아메리카노 4,500 | 브루잉커피 6,000",434
49,리틀포레스트,010-9616-6816,기타, 성수일로12길 23 2층,토요일 11:00~20:00 일요일은 정기휴무 | 금요일 11:00~20:00 일요일은 정기휴무 | 목요일 11:00~20:00 일요일은 정기휴무 | 수요일 11:00~20:00 일요일은 정기휴무 | 화요일 11:00~20:00 일요일은 정기휴무 | 월요일 11:00~20:00 일요일은 정기휴무,http://www.instagram.com/littleforest.iii,"아보카도타르틴 11,000 | 부라타샐러드 13,000 | 페스토치킨파니니 11,000 | 샐러드 파스타 12,000 | 그릭 요거트 6,500 | 샥슈카 13,000 | 당근라페샌드위치 9,500 | 당근라페&후무스플레이트 10,000 | 루바브주스 5,500 | 피그리코타샌드위치 9,500 | 브루잉커피 3,800",424
50,텐동식당,02-6339-0309,일식, 연무장5가길 20-1 1층,매일 11:00~21:00 Break time 15:00~17:00,http://www.instagram.com/tendongsikdang,"스페셜텐동 15,000 | 에비텐동 13,000 | 아나고텐동 12,000 | 이까 텐동 11,000 | 치킨 가라아게동 10,000 | 기본텐동 9,000 | 참깨 연두부 샐러드 2,000 | 모듬 덴뿌라(2人) 22,000 | 치킨가라아게(5p) 8,000 | 양파카레 3,000",421
51,신사소곱창 성수점,02-466-5047,고기집, 아차산로 90 이화장,매일 17:00~00:30 월-일,http://shinsaso.com/,"모듬곱창 20,900 | 소곱창 19,900 | 소대창 19,900 | 소막창 19,900 | 염통 11,000 | 볶음밥 3,000 | 간천엽 5,000 | 멸치국수 4,000 | 감자, 떡사리 3,000",417
52,루프,070-7740-2020,카페/디저트, 연무장5길 9-13 1층,매일 12:00~22:00,https://linktr.ee/looop.kr,"아메리카노 5,500 | 루프라떼 7,000 | 에스프레소 5,000 | 라떼 6,000 | 바닐라라떼 6,300 | 카라멜마키아토 6,500",413
53,굿갓레스토랑 성수역점,010-8691-6860,양식, 연무장길 41-22 2층 201호,평일 11:30~21:30 15:00~17:00 last order 20:50 | 토요일 11:30~21:30 브레이크타임 x last order 20:50 | 일요일 11:30~21:00 브레이크타임 x last order 20:30 | 공휴일 11:30~21:30 브레이크타임 x last order 20:50,,"이베리코 토마호크 (250g) 23,000 | 매콤 명란 오일 파스타 15,000 | 소고기크림 리조또 15,000 | 리코타 발사믹 그린 샐러드 8,000 | 등심,안심,양갈비 실속 모듬(300g) 36,000",409
54,에이투비,070-4617-0812,카페/디저트, 아차산로 135 2층,수요일 12:00~22:00 Last Order 21:00 | 화요일 12:00~22:00 Last Order 21:00 | 일요일 12:00~20:00 Last Order 19:00 | 월요일 12:00~20:00 Last Order 19:00 | 토요일 12:00~00:00 Last Order 23:00 | 금요일 12:00~00:00 Last Order 23:00 | 목요일 12:00~00:00 Last Order 23:00,https://atoblife.co.kr,"피곶치 9,000 | 클래식 티라미수 7,500 | 에이투비 커피 6,500 | 샷 말차 라떼 6,500 | 헌터라떼 6,500 | 허니카토 6,500 | 행오버 6,500 | today wine 변동가격(업주문의) | today whisky 변동가격(업주문의) | 위스카토 11,000",401
55,보이어,070-4866-5995,양식, 연무장길 14-2 1층,토요일 12:00~22:00 | 금요일 12:00~22:00 | 목요일 12:00~22:00 | 수요일 12:00~22:00 | 화요일 12:00~22:00 | 일요일 휴무 | 월요일 휴무 | 토요일 15:00~18:00 브레이크타임 | 금요일 15:00~18:00 브레이크타임 | 목요일 15:00~18:00 브레이크타임 | 수요일 15:00~18:00 브레이크타임 | 화요일 15:00~18:00 브레이크타임,http://www.instagram.com/boyer_seoul,"런치 세트 16,000 | 런치 알리올리오 16,000 | 런치 코코넛커리 16,000 | 런치 더치팬케이크 16,000 | 은대구파스타 24,000 | 어란파스타 23,000 | 스테이크 200g 44,000",401
56,송계옥 성수점,070-7782-9292,한식, 아차산로11길 11 1층 101-103호,평일 17:00~23:00 | 공휴일 16:00~23:00 | 주말 16:00~23:00,http://instagram.com/song.kye.ok,"모둠 대 42,000 | 송계옥 비빔면 8,000 | 봄나물 퉁퉁장 된장찌개 8,000 | 의성마늘볶음밥 5,500 | 야끼 오니기리 2,500",392
57,프롤라,010-4885-9616,카페/디저트, 연무장17길 5 1층,매일 11:00~21:00 | 월요일 휴무,http://www.instagram.com/frolla_seongsu,"Flat white 5,500 | 시그니처 크로스타타 7,000 | 훈제연어 와사비 샐러드 16,000 | 프로슈토 샐러드 15,000 | 트러플 파르마 13,000 | 아페롤 스프리츠 14,000 | 샤케라또 8,000 | 볼로냐 15,000 | 핑키햄 13,000 | 진하고 고소한 아이스라떼 5,500 | 라떼&멘타 민트아이스라떼 7,000",388
58,잇샐러드,070-8118-1751,기타, 성수일로8길 28 1층,매일 11:00~21:00,http://itsalad.co.kr/index.html#01,"TANDANJI 12,900 | ENERGIZER 13,900 | STRESS RELEASE 13,900 | RICE SALAD 11,900 | REFRESH 12,900 | CLASSIC CHICKEN CAESAR 11,900 | VEGAN LIFE 12,900 | FOURSEASONS (Spring) 12,900 | YANGYANG POKE 12,900",377
59,꿉당 성수점,02-465-6564,고기집, 성수이로20길 10 경협회관 104호,"평일 16:30~22:00 (영업시간제한 해제시 23:30), 라스트오더 21:30 (영업시간제한 해제시 22:30) | 주말 12:00~22:00 (영업시간제한 해제시 23:30), 라스트오더 21:30(영업시간제한 해제시 22:30)",,"목살 16,000 | 꿉살 18,000 | 럭키짱 고추장파스타 8,000 | 코쿠미쌀밥 3,000 | 삼겹살 16,000 | 가브리살 16,000 | 갈매기살 16,000",375
60,그리드채플린,02-6463-6200,펍, 아차산로7길 15-1 효정빌딩,평일 16:00~03:00 | 주말 16:00~01:00 | 공휴일 16:00~01:00 명절당일 휴무,http://www.gridchaplin.com,"그리드플래터 32,000 | 갈릭치킨 디아볼라 피자 17,500 | 빼쉐 15,000 | 치플레 샐러드 15,000 | 리코타샐러드 15,000 | 아메리카노 3,700 | 카페라떼 4,200 | 카푸치노 4,200 | 바닐라라떼 4,600 | 카페모카 4,600",371
61,더키더키,02-4993-3300,한식, 아차산로 82,평일 12:00~15:00 | 평일 17:00~22:00 | 주말 12:00~22:00 공휴일 포함,https://www.instagram.com/p/CZIhRbAPabF/?utm_medium=copy_link,"통오리 한마리 98,000 | 생오리 로스구이 (180g) 18,000 | 가마솥 오리탕 35,000 | 연탄 주물럭 18,000 | 부속 모듬 (230g) 23,000 | 부속 단품 - 목살 12,000 | 부속 단품 - 근위 12,000 | 부속 단품 - 염통 12,000 | 오리불백(고추장) - 점심특선 14,000 | 오리곰탕 - 점심특선 10,000 | 오리알 순두부 찌개 12,000 | 냉국수 10,000 | 구황작물 7,000 | 뚝도농원 복분자주 12,000 | 뚝도하이볼(레몬/복분자/매실) 10,000",370
62,이태리차차,02-465-8893,양식, 연무장길 14-5 이태리차차,평일 11:30~22:00 15:00~17:00 Break Time | 주말 12:00~22:00 16:00~17:00 Break Time | 매일 12:00~17:00 12:00~17:00 Coffee Only,,"디아볼라 23,000 | 문어리조또 24,000 | 트러플뇨끼 28,000 | 관자구이 22,000",368
63,청도양꼬치,02-499-8588,중식, 동일로18길 69,매일 11:30~02:00,,"양꼬치 14,000 | 양갈비살(소금 or 양념) 16,000 | 양고급생갈비(300g) 26,000 | 양등심(250g) 25,000 | 매운조개볶음 18,000 | 지삼선 14,000 | 꿔바로우(탕수육) 15,000 | 마라탕 8,000",353
64,다포케 성수점,070-8836-7872,기타, 연무장길 41,평일 11:30~21:00 15:00~16:30 브레이크타임입니다 | 주말 11:30~20:30,http://instagram.com/dapoke.kr,"하와이안클레식포케 8,800 | 와사비마요참치포케 8,800 | 유자폰즈연어포케 9,800 | 스파이시크림연어포케 9,800 | 미소연어포케 9,800 | 빅아일랜드포케 10,800 | 갈릭쉬림프포케 9,800 | 오렌지두부포케 7,800 | 데리야끼 치킨포케 8,800",352
65,루디먼트,02-6497-7158,카페/디저트, 아차산로7길 15-8,화요일 08:00~22:00 | 주말 12:00~22:00 | 수요일 08:00~22:00 | 목요일 08:00~22:00 | 금요일 08:00~22:00 | 월요일 08:00~22:00 | 공휴일 12:00~22:00,http://instagram.com/rudiment.kr,"아메리카노 4,500",346
66,와하카,02-462-7292,남미식, 성수일로12길 29,"토요일 12:00~22:00 Last order 21:00 | 일요일 12:00~22:00 Last order 21:00 | 화요일 휴무 매주월,화요일 휴무 | 월요일 휴무 매주월,화요일 휴무 | 수요일 11:30~22:00 break time 15:00-17:00/Last order 21:00 | 목요일 11:30~22:00 break time 15:00-17:00/Last order 21:00 | 금요일 11:30~22:00 break time 15:00-17:00/Last order 21:00",http://www.instagram.com/oaxaca_seongsu,"TACO 6,500 | BURRITO(medium size) 8,000 | ENCHILADA 14,000 | CHILI CHEESE FRIES 11,500 | NACHO GRANDE 11,500 | CHIPS & GUACAMOLE 10,500 | CHIMICHANGA 16,500",341
67,위풍당당족발 성수점,02-465-3323,한식, 성수일로8길 53 성수동복합시설,매일 11:30~23:30 브레이크타임 없음,http://www.instagram.com/wepung,"족발(소) 30,000 | 족발(중) 34,000 | 족발(대) 39,000 | 직화 불족발(중) 36,000 | 직화 불족발(대) 41,000 | 족발+직화 불족발(중) 36,000 | 족발+직화 불족발(대) 41,000 | 꿀마늘 족발(중) 36,000 | 꿀마늘 족발(대) 41,000 | 냉채족발 42,000 | 족보세트(소) 42,000 | 족보세트(중) 52,000 | 족보세트(대) 62,000 | 보쌈(소) 31,000 | 보쌈(중) 35,000 | 보쌈(대) 40,000 | 과일막국수 10,000",341
68,에머이 성수점,02-499-7174,아시안식, 성수이로 117 1층,매일 10:30~22:30 이용시간 변경(심야영업 임시 중단),http://www.emoikorea.com,"양지 쌀국수 9,800 | 불고기 쌀국수 12,000 | 차돌박이 쌀국수 13,000 | 분짜 15,000 | 반쎄오 18,000 | 볶음밥 9,800 | 야채볶음 9,000 | 넴 6,900 | 매운쌀국수 9,800 | 껌팃헤오 9,800 | 고이꾸온 6,900 | 똠찌엔 6,900",338
69,대림국수 성수점,02-465-0405,펍, 연무장7가길 5-1 1층 대림국수,일요일 11:30~23:30 재료준비시간 (매일 15시~16시30분) | 목요일 11:30~23:30 재료준비시간 (매일 15시~16시30분) | 수요일 11:30~23:30 재료준비시간 (매일 15시~16시30분) | 화요일 11:30~23:30 재료준비시간 (매일 15시~16시30분) | 월요일 11:30~23:30 재료준비시간 (매일 15시~16시30분) | 토요일 11:30~04:30 재료준비시간 (매일 15시~16시30분) | 금요일 11:30~04:30 재료준비시간 (매일 15시~16시30분),,"꼬치국수 온면 10,000 | 꼬치국수 비빔면 9,500 | 꼬치국수 냉면 10,000 | 모듬숯불꼬치 23,000 | 온면 7,000 | 비빔면 6,500 | 냉면 7,000 | 명란 5,000 | 한우대창 4,000 | 왕새우 4,000 | 닭날개 4,000 | 팽이삼겹 3,500 | 토마토삼겹 3,500 | 무릎연골 3,000 | 가슴연골 3,000 | 목살 2,500 | 다리살 2,500 | 염통 2,500 | 닭껍질 2,000 | 아스파라거스 2,000 | 가지 2,000 | 마늘 1,500 | 은행 1,500 | 대파 1,500",330
70,윕 성수,02-6951-1005,펍, 광나루로4가길 5 1층,평일 11:30~23:00 월 휴무 3:00~5:30 브레이크타임 | 주말 11:30~23:00 월 휴무 3:00~5:30 브레이크타임,https://app.catchtable.co.kr/ct/shop/wip,"플랭크 스테이크 35,000 | 이베리코 스테이크 35,000 | 치킨 그레인 샐러드 16,000 | 뽈살 기네스 스튜 19,000 | 머쉬룸 보스카욜라 펜네 파스타 17,000 | 프렌치어니언 수프 9,000",330
71,통삼시대 성수점,02-6465-3030,고기집, 성수일로8길 39-1 성수장여관,매일 11:00~24:00,,"통삼겹살 무한리필 9,900 | 모듬 무한리필 11,900 | 갈비살 무한리필 16,900 | 양념모듬 무한리필 12,900",329
72,레이더,02-6080-3929,카페/디저트, 연무장길 39-29 레이더,매일 11:00~22:00,http://www.instagram.com/radarseoul,"아메리카노 5,500 | 라떼 6,000 | 바닐라크림커피 7,500 | 파운드 5,500 | 치즈 케이크 6,500 | 애플스퀘어 7,000 | 오미자 에이드 7,000 | 콜드브루 6,500 | 밀크티 7,000 | 청포도 모히또 7,000 | 오가닉 레몬에이드 7,500 | 블렌딩 허브티 6,500 | 바닐라커피 7,000 | 애플시나몬티 7,500 | 레몬허브티 7,500 | 오레오/로투스 쿠키 5,500 | 아이스크림 1,000 | 오미자차 7,000 | 피치 우롱차 6,500 | 세러니티차 6,500 | 크림슨펀치 6,500 | 에스프레소 5,000 | 카푸치노 6,000 | 숏라떼 5,500",319
73,아키야마,010-8647-2762,펍, 아차산로7나길 18 성수에이팩센터1층106호,평일 11:30~13:30 오전 | 평일 17:00~01:30 오후 | 금요일 17:00~01:30 | 토요일 17:00~01:30 | 일요일 휴무 | 공휴일 17:00~01:30,http://instagram.com/akiyama_izakaya,"5종모듬사시미 29,000 | 나가사키해물나베 20,000 | 6종숯불모듬꼬치 21,000 | 스키야키 25,000 | 사시미고노와다 29,000 | 생연어사시미 22,000 | 해물크림짬뽕 21,000 | 소고기타다키 28,000 | 로제해물크림우동 24,000 | 오뎅나베(탕) 19,000 | 도미머리구이 18,000 | 도미머리조림 22,000 | 치킨가라게 14,000",316
74,화화담 성수,02-464-9888,한식, 연무장7가길 3,평일 11:20~21:00 오후 3시~ 5시 | 주말 11:20~21:00 브레이크 타임 없음,,"화화담 오리지날 쌀국수 9,000 | 미드나잇 수비드 스테이크 12,800 | 하노이 포10 쌀국수 9,800 | 분팃느엉 11,300 | 화화담 트리플 스페셜 쌀국수(오전) 12,800 | 몽블랑 치즈크림큐브 스테이크(오후) 13,900 | 쉬림프 크림 수비드 스테이크 15,800 | 갈릭 파인애플 수비드 스테이크 13,800 | 떡갈비 양지 쌀국수 9,500 | 클래식 포9 쌀국수 8,500 | 호이안 양전 쌀국수 8,800 | 맑은 해산물 쌀국수 10,500 | 화화담 곱창 쌀국수 12,300 | 양지 곱창 새우 쌀국수 12,800 | 매운 하노이 쌀국수 9,800 | 매운 새우탕 쌀국수 10,800 | 바게트 킹 감바스 9,800 | 보코치니에그 샐러드 7,500 | 새우튀김 스프링롤 7,000 | 연어 스프링롤 6,800 | 수제 미트볼 그라탕 8,300 | 찹쌀 치즈볼(6ea) 4,800 | 새우 커틀렛(3ea) 7,200 | 새우 스펀지롤(6ea) 5,100 | 해산물 짜조(3ea) 6,300 | 자몽허니 에이드 4,000 | 애플시나몬 에이드 4,300 | 체리뱅쇼 4,500 | 병맥주 (카스/클라우드) 4,000 | 콜라 / 사이다 2,500",310
75,봉자마라탕,02-499-8889,중식, 동일로18길 22,매일 11:00~24:00,,"찹쌀탕수육 13,000 | 삼색야채볶음 12,000 | 향라육슬 13,000 | 어향육슬 12,000 | 궁빠지딩 15,000 | 어향가지볶음 12,000 | 탕고기가지볶음 13,000 | 매운새우볶음 18,000 | 곱창볶음 16,000 | 조개볶음 12,000 | 매운닭고기 25,000 | 돼지간볶음 12,000 | 마라돼지의간 12,000 | 건두부볶음 10,000 | 경장육슬 15,000 | 즈란양고기 15,000 | 즈란염통줄기 13,000 | 건두부데쳐서무침 10,000 | 토마토계란볶음 10,000 | 송화단두부 10,000 | 쇠고기피망볶음 15,000 | 물에익힌돼지고기 15,000 | 매운소천엽볶음 13,000 | 갈비배추절임 15,000 | 갈비당통볶음 15,000 | 볶음산시량피 7,000 | 건두부무침 10,000 | 양고기마라탕 10,000 | 마라탕 6,000 | 마라면 6,000 | 마라무침 6,000 | 단단면 6,000 | 매콤새콤단면 6,000 | 마라면무침 7,000 | 산시량피 6,000 | 볶음면 6,000 | 양주계란볶음 6,000 | 훈둔 6,000 | 물만두 6,000 | 충칭샤브샤브 35,000 | 마라향궈 大 30,000 | 마라향궈 小 25,000",308
76,도도곱창 건대본점,02-2298-7789,고기집, 아차산로34길 18,평일 14:30~12:00 | 토요일 14:30~12:00 | 일요일 14:30~12:00,https://dodogobchang.modoo.at,"세트4 58,000 | Set 3 47,000 | 소금구이막창 13,000 | 양념막창(돼지) 13,000 | 야채곱창(돼지) 12,000 | 치즈야채곱창(돼지) 14,000 | 소막창 18,000 | 소곱창전골(중) 33,000 | 계란찜 5,000 | 날치알볶음밥 3,000 | Set 1 39,000 | Set 2 41,000 | 한우곱창 18,000 | Set 5 51,000",305
77,BNHR,070-4175-6118,카페/디저트, 연무장5길 9-16 1층,토요일 12:00~20:00 | 금요일 12:00~20:00 | 목요일 12:00~20:00 | 수요일 12:00~20:00 | 월요일 12:00~20:00 | 일요일 12:00~20:00 | 매일 12:00~20:00 | 평일 12:00~20:00 | 화요일 휴무,http://www.instagram.com/bnhrcoffee,"BNHR COFFEE 6,000 | SUMMER LATTE 6,500 | 에스프레소 5,000 | 아메리카노 5,000 | 라떼 5,500 | 바닐라라떼 6,000 | 써머라떼 6,800",301
78,소문난성수감자탕,02-465-6580,한식, 연무장7길 4 해피드림,,,"감자탕 대 40,000 | 감자국식사 일반 9,000 | 감자국식사 우거지 10,000 | 감자국식사 곱배기 10,000 | 감자국식사 우거지곱배기 11,000",293
79,문츠 바베큐,010-7417-3054,양식, 연무장5길 6,화요일 11:30~21:00 브레이크타임 3시~5시 | 일요일 11:30~21:00 브레이크타임 3시~5시 | 토요일 11:30~21:00 브레이크타임 3시~5시 | 금요일 11:30~21:00 브레이크타임 3시~5시 | 목요일 11:30~21:00 브레이크타임 3시~5시 | 수요일 11:30~21:00 브레이크타임 3시~5시,http://www.youtube.com/channel/UC4nfYK0W3YMMFP1H5QdF3dw,"비프립 플래터 84,000 | 스페어립 플래터 58,000 | 시즈널 그릴드 베지 24,000 | 그릴드 로메인 12,000",291
80,오스테리아 쟌니,02-465-3777,양식, 연무장길 109 1층 Osteria Gianni,"화요일 12:00~22:00 Break time 15:30 - 18:00, 라스트오더 21:00 | 수요일 12:00~22:00 Break time 15:30 - 18:00, 라스트오더 21:00 | 목요일 12:00~22:00 Break time 15:30 - 18:00, 라스트오더 21:00 | 금요일 12:00~22:00 Break time 15:30 - 18:00, 라스트오더 21:00 | 토요일 12:00~22:00 Break time 15:30 - 18:00, 라스트오더 21:00 | 월요일 휴무 | 일요일 휴무",http://blog.naver.com/choijaeh88,"양고기라구파케리 23,000 | 아란치니 7,000 | 시저샐러드 18,000 | 염장 대구 스프레드 19,000 | 프로슈토와 부라타치즈 20,000 | 피에몬테 육회타르타르 21,000 | 베이컨 로제 감자 뇨끼 19,000 | 고르곤졸라&호두크림 감자뇨끼 19,000 | 고구마뇨끼와 초리조 19,000 | 포르치니 트러플 크림 감자 뇨끼 19,000 | 가지라지냐 20,000 | 볼로네제 19,000 | 홈스타일 전통 까르보나라 (스파게티니) 19,000 | 대하새우&올리브파스타 23,000 | 홍가리비봉골레 23,000 | 시칠리안 삼치파스타(링귀니면) 22,000 | 어란파스타 23,000 | 바질페스토&라구비앙코 22,000 | 이베리코목살콩피 35,000 | 채끝 스테이크 48,000 | 티라미수 8,000",288
81,소성공자 샤브샤브,02-461-9888,중식, 동일로18길 17,매일 12:00~24:00,,"홍탕 15,000 | 토마토탕 8,000 | 홍백탕 13,000 | 샤브세트A 소고기세트 33,000 | 샤브세트B 양고기+생새우완자세트 44,000 | 샤브세트C 고품격 바비인형소고기 세트 55,000 | 양고기 10,000 | 양갈비살 12,000 | 소고기 10,000 | 소갈비살 13,000 | 매운소고기 12,000 | 무뼈닭발 6,000 | 소고기완자 10,000 | 모듬 버섯 8,000 | 마라소룽샤 32,000 | 꿔바우로 15,000 | 쯔란 양(소)고기 볶음 15,000 | 쯔란 신관 볶음 15,000",280
82,사위식당 성수점,02-2054-0110,고기집, 연무장5길 9-16 블루스톤타워 지하 1층 B102호,매일 11:00~22:00 | 매일 15:00~17:00 브레이크타임,,"낙곱새 12,000 | 한우대창덮밥 11,000 | 낙삼새 12,000 | 낙새 12,000 | 장모님 왕만두 4pcs 7,000 | 12곡 미숫가루 밀크 (500ml병) 7,000 | 동래부추전 13,000 | 사리 2,000 | 추가메뉴 9,000 | 대게다릿살 튀김 (5pcs) 7,000",279
83,냐항,02-497-5279,아시안식, 연무장길 9-6 1층 냐항,평일 11:30~22:00 브레이크타임 14:00-17:00 | 토요일 12:00~22:00 브레이크타임 없음 | 일요일 12:00~21:00 브레이크타임 없음,http://www.instagram.com/nhahang_sikdang,"그린파파야샐러드 14,000 | 짜죠 6,000 | 베트남 소시지 7,000 | 냐항 멘보샤 12,000 | 반쎄오 21,000 | 볶음 쌀국수 11,000 | 코코넛 라이스 5,000 | 모닝글로리 볶음 8,000 | 허니 고구마스틱 5,000 | 오픈 반미 샌드위치 7,000 | 맛있는 베트남 바비큐 24,000 | 수비드 등심 스테이크와 모닝글로리 볶음 30,000 | 똠양탕 22,000 | 바삭바삭 레몬그라스 치킨 20,000 | 불향 가득 쌀국수 9,000 | 비빔 쌀국수 9,000 | 파인애플 새우 볶음밥 9,000 | 소고기 덮밥(런치 한정) 9,000",279
84,교대이층집 성수점,02-462-2792,고기집, 성수일로8길 60,"평일 11:30~22:00 | 공휴일 14:00~22:00 | 토요일 14:00~22:00 | 일요일 16:00~21:00 1, 3번째 일요일은 휴무!!!",http://www.sgfco.kr/,"꽃삼겹(국내산, 150g) 15,000 | 통삼겹(국내산, 180g) 15,000 | 통목살(국내산, 180g) 15,000 | 항정살(국내산, 150g) 16,000 | 가브리살(국내산, 150g) 14,000 | 한우차돌박이(한우1++, 150g) 25,000 | 시골된장찌개 7,000 | 냉면(물/비빔) 7,000 | 볶음밥 한 판 10,000 | 버섯칼국수 7,000 | [점심특선메뉴]시골된장찌개 7,500 | [점심특선메뉴]우렁된장찌개 7,500 | [점심특선메뉴]소고기국밥 7,500 | [점심특선메뉴]한돈제육볶음_2인이상 8,000 | [점심특선메뉴]냉면(물/비빔) 7,500",278
85,토라식당,070-8736-6141,일식, 연무장7가길 6-1 지하 토라식당,평일 11:30~14:00 | 평일 18:00~22:00 | 토요일 16:30~22:00 | 일요일 휴무,https://www.instagram.com/torasigdang,"오므라이스 9,000 | 흑돼지 돈카스 9,000 | 카츠나베 10,000 | 멘치카스 10,000 | 한우스키야키나베 12,000 | 후토마키 12,000 | 소고기고로케1pcs 3,000 | 치킨가라아게 3,000 | 모듬생선회2인 29,000 | 모듬생선회3인 39,000 | 우니감태 25,000 | 오이스터 우니 이꾸라2pcs 13,000 | 오이스터 2pcs 8,000",271
86,이로우,02-6953-7448,펍, 연무장길 12 1층,금요일 17:00~01:00 | 목요일 17:00~01:00 | 수요일 17:00~01:00 | 화요일 17:00~01:00 | 월요일 17:00~01:00 | 일요일 15:00~01:00 | 토요일 15:00~01:00,,"모둠사시미 29,000 | 레드(매콤) 가라아게 18,000 | 블랙(흑임자) 가라아게 18,000 | 미즈타키나베(닭고기전골) 23,000 | 차돌박이 참깨나베 23,000 | 차돌박이 숙주볶음 20,000 | 마구로 육회 23,000 | 소고기(채끝살) 타다끼 25,000 | 화이트크림새우 22,000 | 매콤칠리새우 22,000 | 수제 모찌리도후 10,000",270
